title	themes	movie_moods	keywords	date	directors
Star Wars	['Adrenaline Rush', 'Other Dimensions']	['Space Wars', 'Heroic Mission', 'Space Travel', 'Mentors', 'Robots and Androids']	['battle[war]', 'good-vs-evil', 'empire', 'oppression', 'farmboy', 'mentor', 'mercenary', 'princess', 'rebel', 'resistance', 'spacecraft', 'android', 'duel', 'rescue', 'robot', 'stormtroopers', 'alien[not', 'human]', 'American[nationality]', 'coming-of-age', 'against-all-odds']	1977	['George Lucas']
Gladiator	['Tough Guys']	['Righting the Wronged', 'Heroic Mission', 'Fall From Power']	['arena', 'colosseum', 'emperor', 'General', 'Roman-Empire', 'sister', 'slavery']	2000	['Ridley Scott']
The Silence of the Lambs	['Nail-biters', 'Spellbinders']	['Mind Games', 'Rookie Cops', 'Serial Killers', 'Haunted By the Past', 'Murder Investigations', 'Trapped or Confined']	['agent[representative]', 'cannibal', 'escape', 'FBI', '(Federal', 'Bureau', 'of', 'Investigation)', 'investigation', 'killing', 'maniac', 'mental-illness', 'murder', 'prison', 'psychiatry', 'pursuit', 'serial-killer', 'shoot-out', 'psychopath']	1991	['Jonathan Demme']
The Avengers	['Adrenaline Rush']	['Evil Aliens', 'Heroic Mission', 'Priceless Artifacts and Prized Objects']	['aircraft-carrier', 'billionaire', 'soldier', 'Superhero', 'team']	2012	['Joss Whedon']
The Shawshank Redemption	['Triumph of the Spirit']	['Miscarriage of Justice', 'Prison Life', 'Redemption', 'Unlikely Friendships', 'Escape From Prison']	['imprisonment', 'imprisonment-false', 'murder', 'prison-escape', 'prison-official', 'social-outcast', 'socialization', 'warden', 'wife']	1994	['Frank Darabont']
Se7en	['Nail-biters', 'Abandon All Hope']	['Murder Investigations', 'Serial Killers']	['cat-and-mouse', 'clue', 'detective', 'investigation', 'killing', 'murder', 'mutilation', 'serial-killer']	1995	['David Fincher']
Django Unchained	['Adrenaline Rush', 'Tough Guys']	"['Bounty Hunters', 'Daring Rescues', 'Race Relations', ""Men's Friendship""]"	['coffin', 'KKK', '(Ku', 'Klux', 'Klan)', 'outlaw[Western]', 'slavery']	2012	['Quentin Tarantino']
Saving Private Ryan	['For Love of Country']	['Heroic Mission', 'Military Life', 'War At Sea']	['mission[quest]', 'D-Day', 'brother', 'group', 'invasion', 'landing[boat]', 'officer', 'survivor', 'war', 'beach', 'soldier']	1998	['Steven Spielberg']
The Lord of the Rings: The Return of the King	['Other Dimensions']	['Heroic Mission', 'Curses and Spells', 'Fantasy Lands', 'Race Against Time', 'Wizards and Magicians']	['ring[jewelry]', 'battle[war]', 'king', 'elf', 'journey', 'mission[quest]', 'quest', 'wizard', 'ghost', 'undead', 'witch']	2003	['Peter Jackson']
The Lord of the Rings: The Two Towers	['Other Dimensions']	['Heroic Mission', 'Fantasy Lands', 'Race Against Time', 'Wizards and Magicians']	['elf', 'fantasy-world', 'mission[quest]', 'quest', 'talisman', 'wizard', 'attack', 'king', 'star-crossed-lovers']	2002	['Peter Jackson']
The Lord of the Rings: The Fellowship of the Ring	['Other Dimensions']	['Heroic Mission', 'Wizards and Magicians', 'Fantasy Lands']	['ring[jewelry]', 'fantasy-world', 'adversity', 'gathering', 'good-vs-evil', 'power-hungry', 'destruction-of-mankind', 'doom', 'group', 'hardships', 'one-against-odds', 'proving-oneself', 'quest', 'villain', 'wizard', 'dwarf', 'elf', 'enchanted-forest', 'on-the-road']	2001	['Peter Jackson']
