title	tomato_meter	audience_score	date	directors
Gladiator	77	87	2000	['Ridley Scott']
The Dark Knight Rises	87	90	2012	['Christopher Nolan']
Batman Begins	84	94	2005	['Christopher Nolan']
The Silence of the Lambs	96	95	1991	['Jonathan Demme']
Inglourious Basterds	89	88	2009	['Quentin Tarantino']
The Shawshank Redemption	91	98	1994	['Frank Darabont']
Iron Man	94	91	2008	['Jon Favreau']
Star Wars	92	96	1977	['George Lucas']
The Godfather	97	98	1972	['Francis Ford Coppola']
Interstellar	72	86	2014	['Christopher Nolan']
The Lord of the Rings: The Two Towers	95	95	2002	['Peter Jackson']
Terminator 2: Judgment Day	93	94	1991	['James Cameron']
The Lord of the Rings: The Fellowship of the Ring	91	95	2001	['Peter Jackson']
Saving Private Ryan	93	95	1998	['Steven Spielberg']
Django Unchained	87	91	2012	['Quentin Tarantino']
American History X	83	96	1998	['Tony Kaye']
Back to the Future	96	94	1985	['Robert Zemeckis']
The Lord of the Rings: The Return of the King	93	86	2003	['Peter Jackson']
Pirates of the Caribbean: The Curse of the Black Pearl	79	86	2003	['Gore Verbinski']
Guardians of the Galaxy	92	92	2014	['James Gunn']
Goodfellas	96	97	1990	['Martin Scorsese']
Schindler's List	98	97	1993	['Steven Spielberg']
Forrest Gump	71	95	1994	['Robert Zemeckis']
Kill Bill: Vol. 1	85	81	2003	['Quentin Tarantino']
Fight Club	79	96	1999	['David Fincher']
Memento	93	94	2000	['Christopher Nolan']
Pulp Fiction	92	96	1994	['Quentin Tarantino']
The Dark Knight	94	94	2008	['Christopher Nolan']
Avatar	81	82	2009	['James Cameron']
Up	98	90	2009	['Pete Docter', 'Bob Peterson']
Toy Story	100	92	1995	['John Lasseter']
Mad Max: Fury Road	97	86	2015	['George Miller']
The Green Mile	78	94	1999	['Frank Darabont']
Finding Nemo	99	86	2003	['Andrew Stanton', 'Lee Unkrich']
Avengers: Endgame	94	90	2019	['Anthony Russo', 'Joe Russo']
Avengers: Infinity War	85	91	2018	['Anthony Russo', 'Joe Russo']
Eternal Sunshine of the Spotless Mind	92	94	2004	['Michel Gondry']
The Matrix	88	85	1999	['Lana Wachowski', 'Lilly Wachowski']
American Beauty	87	93	1999	['Sam Mendes']
Titanic	89	69	1997	['James Cameron']
Deadpool	85	90	2016	['Tim Miller']
Avengers: Age of Ultron	76	83	2015	['Joss Whedon']
Inception	87	91	2010	['Christopher Nolan']
300	61	89	2006	['Zack Snyder']
Raiders of the Lost Ark	95	96	1981	['Steven Spielberg']
The Departed	90	94	2006	['Martin Scorsese']
Iron Man 2	72	71	2010	['Jon Favreau']
One Flew Over the Cuckoo's Nest	94	96	1975	['Milos Forman']
The Big Lebowski	83	93	1998	['Joel Coen', 'Ethan Coen']
Requiem for a Dream	79	93	2000	['Darren Aronofsky']
The Hobbit: An Unexpected Journey	64	83	2012	['Peter Jackson']
The Lion King	93	93	1994	['Roger Allers', 'Rob Minkoff']
Captain America: The First Avenger	80	74	2011	['Joe Johnston']
Thor	77	76	2011	['Kenneth Branagh']
The Martian	91	91	2015	['Ridley Scott']
Toy Story 3	98	90	2010	['Lee Unkrich']
Snatch	74	93	2000	['Guy Ritchie']
Slumdog Millionaire	91	90	2008	['Danny Boyle', 'Loveleen Tandan']
Reservoir Dogs	92	94	1992	['Quentin Tarantino']
Die Hard	94	94	1988	['John McTiernan']
Taxi Driver	96	93	1976	['Martin Scorsese']
Scarface	82	93	1983	['Brian De Palma']
Captain America: The Winter Soldier	90	92	2014	['Anthony Russo', 'Joe Russo']
Donnie Darko	87	80	2001	['Richard Kelly']
Harry Potter and the Deathly Hallows: Part 2	96	89	2011	['David Yates']
Good Will Hunting	98	94	1997	['Gus Van Sant']
No Country for Old Men	93	86	2007	['Ethan Coen', 'Joel Coen']
Gone Girl	87	87	2014	['David Fincher']
The Hunger Games	84	81	2012	['Gary Ross']
Jurassic Park	92	91	1993	['Steven Spielberg']
Sin City	77	78	2005	['Frank Miller', 'Quentin Tarantino', 'Robert Rodriguez']
Full Metal Jacket	92	94	1987	['Stanley Kubrick']
The Terminator	100	89	1984	['James Cameron']
Intouchables	75	93	2011	['Olivier Nakache', 'Éric Toledano']
Alien	98	94	1979	['Ridley Scott']
Captain America: Civil War	90	89	2016	['Anthony Russo', 'Joe Russo']
A Beautiful Mind	74	93	2001	['Ron Howard']
Indiana Jones and the Last Crusade	88	94	1989	['Steven Spielberg']
Blade Runner	90	91	1982	['Ridley Scott']
Once Upon a Time... in Hollywood	85	70	2019	['Quentin Tarantino']
District 9	90	82	2009	['Neill Blomkamp']
The Imitation Game	89	91	2014	['Morten Tyldum']
Million Dollar Baby	90	90	2004	['Clint Eastwood']
Kill Bill: Vol. 2	84	89	2004	['Quentin Tarantino']
Catch Me If You Can	96	89	2002	['Steven Spielberg']
Skyfall	92	86	2012	['Sam Mendes']
Fargo	94	93	1996	['Joel Coen', 'Ethan Coen']
Batman v Superman: Dawn of Justice	29	63	2016	['Zack Snyder']
Ratatouille	96	87	2007	['Brad Bird', 'Jan Pinkava']
Thor: Ragnarok	93	87	2017	['Taika Waititi']
Trainspotting	91	93	1996	['Danny Boyle']
The Social Network	96	86	2010	['David Fincher']
Silver Linings Playbook	92	86	2012	['David O. Russell']
I Am Legend	68	68	2007	['Francis Lawrence']
12 Years a Slave	95	90	2013	['Steve McQueen']
Pirates of the Caribbean: Dead Man's Chest	53	72	2006	['Gore Verbinski']
Harry Potter and the Sorcerer's Stone	81	82	2001	['Chris Columbus']
The King's Speech	94	92	2010	['Tom Hooper']
Casino Royale	94	90	2006	['Martin Campbell']
The Hangover	78	84	2009	['Todd Phillips']
How to Train Your Dragon	99	91	2010	['Dean DeBlois', 'Chris Sanders']
Apocalypse Now	98	94	1979	['Francis Ford Coppola']
Gran Torino	81	90	2008	['Clint Eastwood']
Sen to Chihiro no kamikakushi	97	96	2001	['Hayao Miyazaki']
Thor: The Dark World	66	75	2013	['Alan Taylor']
Guardians of the Galaxy Vol. 2	85	87	2017	['James Gunn']
Lock, Stock and Two Smoking Barrels	75	93	1998	['Guy Ritchie']
Psycho	96	95	1960	['Alfred Hitchcock']
The Grand Budapest Hotel	92	86	2014	['Wes Anderson']
Kingsman: The Secret Service	75	84	2014	['Matthew Vaughn']
Her	94	82	2013	['Spike Jonze']
The Hobbit: The Desolation of Smaug	74	85	2013	['Peter Jackson']
Now You See Me	50	70	2013	['Louis Leterrier']
World War Z	66	72	2013	['Marc Forster']
Harry Potter and the Goblet of Fire	88	74	2005	['Mike Newell']
Harry Potter and the Prisoner of Azkaban	90	86	2004	['Alfonso Cuarón']
Harry Potter and the Chamber of Secrets	82	80	2002	['Chris Columbus']
2001: A Space Odyssey	92	89	1968	['Stanley Kubrick']
John Wick	86	81	2014	['Chad Stahelski', 'David Leitch']
Taken	59	85	2008	['Pierre Morel']
Jaws	98	90	1975	['Steven Spielberg']
Groundhog Day	96	88	1993	['Harold Ramis']
Into the Wild	83	89	2007	['Sean Penn']
Star Trek	94	91	2009	['J.J. Abrams']
Jurassic World	71	78	2015	['Colin Trevorrow']
Pirates of the Caribbean: At World's End	44	72	2007	['Gore Verbinski']
Rogue One	84	86	2016	['Gareth Edwards']
Shrek	88	90	2001	['Andrew Adamson', 'Vicky Jenson']
The Hunger Games: Catching Fire	90	89	2013	['Francis Lawrence']
Life of Pi	86	84	2012	['Ang Lee']
Limitless	69	74	2011	['Neil Burger']
There Will Be Blood	91	86	2007	['Paul Thomas Anderson']
Toy Story 2	100	87	1999	['John Lasseter', 'Ash Brannon', 'Lee Unkrich']
Cast Away	89	84	2000	['Robert Zemeckis']
The Matrix Reloaded	73	72	2003	['Lana Wachowski', 'Lilly Wachowski']
The Hateful Eight	74	76	2015	['Quentin Tarantino']
Superbad	88	87	2007	['Greg Mottola']
American Psycho	69	85	2000	['Mary Harron']
Looper	93	82	2012	['Rian Johnson']
Minority Report	90	80	2002	['Steven Spielberg']
Source Code	92	82	2011	['Duncan Jones']
Edge of Tomorrow	91	90	2014	['Doug Liman']
Harry Potter and the Deathly Hallows: Part 1	77	85	2010	['David Yates']
Troy	54	73	2004	['Wolfgang Petersen']
Pirates of the Caribbean: On Stranger Tides	33	54	2011	['Rob Marshall']
Blade Runner 2049	88	81	2017	['Denis Villeneuve']
Home Alone	66	80	1990	['Chris Columbus']
I, Robot	56	70	2004	['Alex Proyas']
Zodiac	89	77	2007	['David Fincher']
Juno	94	88	2007	['Jason Reitman']
Deadpool 2	84	85	2018	['David Leitch']
Watchmen	65	71	2009	['Zack Snyder']
Get Out	98	86	2017	['Jordan Peele']
Monty Python and the Holy Grail	97	95	1975	['Terry Gilliam', 'Terry Jones']
Harry Potter and the Order of the Phoenix	77	81	2007	['David Yates']
Knives Out	97	92	2019	['Rian Johnson']
Shaun of the Dead	92	93	2004	['Edgar Wright']
X2	85	85	2003	['Bryan Singer']
La La Land	91	81	2016	['Damien Chazelle']
Blood Diamond	63	90	2006	['Edward Zwick']
Ocean's Eleven	83	80	2001	['Steven Soderbergh']
Rise of the Planet of the Apes	82	77	2011	['Rupert Wyatt']
Children of Men	92	85	2006	['Alfonso Cuarón']
Men in Black	92	79	1997	['Barry Sonnenfeld']
Nightcrawler	95	86	2014	['Dan Gilroy']
Zombieland	89	86	2009	['Ruben Fleischer']
Hot Fuzz	91	89	2007	['Edgar Wright']
The Perks of Being a Wallflower	85	89	2012	['Stephen Chbosky']
Bohemian Rhapsody	60	85	2018	['Bryan Singer']
The Notebook	53	85	2004	['Nick Cassavetes']
Baby Driver	92	86	2017	['Edgar Wright']
The Hangover Part II	34	52	2011	['Todd Phillips']
A Quiet Place	96	83	2018	['John Krasinski']
Rain Man	89	90	1988	['Barry Levinson']
Charlie and the Chocolate Factory	83	51	2005	['Tim Burton']
The Conjuring	86	83	2013	['James Wan']
Love Actually	64	72	2003	['Richard Curtis']
The Incredible Hulk	67	70	2008	['Louis Leterrier']
Zootopia	98	92	2016	['Byron Howard', 'Rich Moore', 'Jared Bush']
The Fifth Element	71	86	1997	['Luc Besson']
American Sniper	72	84	2014	['Clint Eastwood']
American Hustle	92	74	2013	['David O. Russell']
Indiana Jones and the Temple of Doom	84	81	1984	['Steven Spielberg']
Dead Poets Society	85	92	1989	['Peter Weir']
Little Miss Sunshine	91	91	2006	['Jonathan Dayton', 'Valerie Faris']
Edward Scissorhands	90	91	1990	['Tim Burton']
Ice Age	77	82	2002	['Chris Wedge', 'Carlos Saldanha']
Dallas Buyers Club	92	91	2013	['Jean-Marc Vallée']
Hacksaw Ridge	84	91	2016	['Mel Gibson']
Star Trek Into Darkness	84	89	2013	['J.J. Abrams']
Rear Window	98	95	1954	['Alfred Hitchcock']
